,ATACQ,Int-ext,D/L - P/R,L/R,H-V,Panel,Primer,BC Int,BC Ext 1,BC Ext 2,CC Int,CC Ext,,ALL,"VLOOKUP(M2,$B$3:$F$103,2,0)"
1,(Top) Left Side Lid (ext),ext,D,L,H,Decklid,R11,X,R12,R13,X,R22,,S60 ,"VLOOKUP(M2,$B$3:$F$66,2,0)"
2,(Top) Left Side Lid (int),int,D,L,H,Decklid Int,X,R12,X,X,R21,X,,,
3,(Top) Right Side Lid (ext),ext,P,R,V,Decklid,R21,X,R22,R23,X,R22,,,
4,(Top) Right Side Lid (int),int,P,R,V,Decklid Int,X,R12,X,X,R21,X,,,
5,Driver side C pillar,int,D,L,V,Left B Pillar,X,R11,X,X,R11,X,,,
6,Driver side door (bottom;ext),ext,D,L,V,L1 Door,R11,X,R11,R13,X,R11,,,
7,Driver side door (top;ext),ext,D,L,V,L1 Door,R11,X,R11,R13,X,R11,,,
8,Driver side front door (bottom int),int,D,L,V,L1 Door Int,X,R11,X,X,R12,X,,,
9,Driver side front door (left int),int,D,L,V,L1 Door Int,X,R12,X,X,R12,X,,,
10,Driver side nose,ext,D,L,V,LFF,R11,X,R11,R13,X,R11,,,
11,Driver side rear door (bottom ext),ext,D,L,V,L2 Door,R11,X,R11,R13,X,R11,,,
12,Driver side rear door (bottom int),int,D,L,V,L2 Door Int,X,R11,X,X,R11,X,,,
13,Driver side rear door (top ext),ext,D,L,V,L2 Door,R11,X,R11,R13,X,R11,,,
14,Driver side rear door (top int),int,D,L,V,L2 Door Int,X,R11,X,X,R11,X,,,
15,Driver tail end,ext,D,L,V,LQTR,R11,X,R11,R13,X,R11,,,
16,Front door opening -frame (int),int,D,L,H,L1 Door Int,X,R11,X,X,R12,X,,,
17,Front passenger door opening  (int),int,P,R,H,L1 Door Int,X,R21,X,X,R22,X,,,
18,Left Bottom Quadrant roof,ext,D,L,H,Roof,R22,X,R22,R24,X,R22,,,
19,Left C pillar,int,D,L,H,LQTR,X,R11,X,X,R11,X,,,
20,Left rear side,ext,D,L,V,LQTR,R11,X,R11,R13,X,R11,,,
21,Left Side hood (ext),ext,D,L,H,Hood,R12,X,R12,R14,X,R12,,,
22,Left Side hood (int),int,D,L,H,Hood Int,X,R12,X,X,X,X,,,
23,Left side top lid,ext,D,L,H,Decklid,R11,X,R22,R24,X,R22,,,
24,Left Top Quadrant roof,ext,D,L,H,Roof,R22,X,R12,R14,X,R22,,,
25,Pass. side front door (bot ext),ext,P,R,V,R1 Door,R21,X,R21,R23,X,R21,,,
26,Pass. side front door (bot int),int,P,R,V,R1 Door Int,X,R21,X,X,R22,X,,,
27,Pass. side front door (top ext),ext,P,R,V,R1 Door,R21,X,R21,R23,X,R21,,,
28,Pass. side front door (top int),int,P,R,V,R1 Door Int,X,R22,X,X,R22,X,,,
29,Pass. side rear door (bottom ext),ext,P,R,V,R2 Door,R21,X,R21,R23,X,R21,,,
30,Pass. side rear door (bottom int),int,P,R,V,R2 Door Int,X,R21,X,X,R21,X,,,
31,Pass. side rear door (top ext),ext,P,R,V,R2 Door,R21,X,R21,R23,X,R21,,,
32,Pass. side rear door (top int),int,P,R,V,R2 Door Int,X,R21,X,X,R21,X,,,
33,Passenger side nose,ext,P,R,V,RFF,R21,X,R21,R23,X,R21,,,
34,Passenger side tail,ext,P,R,V,RQTR,R21,X,R21,R23,X,R21,,,
35,Rear driver door opening  (int),int,D,L,H,L2 Door Int,X,R11,X,X,R11,X,,,
36,Rear driver side trunk (ext),ext,D,L,H,Decklid,R22,X,R22,R24,X,R22,,,
37,Rear passenger door opening  (int),int,P,R,H,R2 Door Int,X,R11,X,X,R21,X,,,
38,Rear passenger side trunk (ext),ext,P,R,H,Decklid,R22,X,R22,R24,X,R22,,,
39,Right Bottom Quadrant roof,ext,P,R,H,Roof,R22,X,R22,R24,X,R22,,,
40,Right mid roof,ext,P,R,H,Roof,R12,X,R22,R24,X,R22,,,
41,Right Side hood (ext),ext,P,R,H,Hood,R12,X,R12,R14,X,R12,,,
42,Right Side hood (int),int,P,R,H,Hood Int,X,R22,X,X,X,X,,,
43,Right Top Quadrant roof,ext,P,R,H,Roof,R22,X,R12,R24,X,R22,,,
44,Top passenger b-pillar,int,P,R,V,R B Pillar,X,R22,X,X,R22,X,,,
45,Bottom driver's b-pillar,int,D,L,V,L B Pillar,X,R11,X,X,R11,X,,,
46,Bottom passenger b-pillar,int,P,R,V,R B Pillar,X,R21,X,X,R21,X,,,
47,Baggage  (Right Side),int,P,R,H,Decklid Int,X,R21,X,X,R21,X,,,
48,Top driver's b-pillar,int,D,L,V,L B Pillar,X,R12,X,X,R12,X,,,
49,Left recharge lid (ext),ext,D,L,V,Recharge Lid,R11,X,R12,R13,X,R12,,,
50,Left A pillar,ext,D,L,V,L A Pillar,R12,X,R12,R13,X,R11,,,
51,"Right Cpillar, A-pillar, mid roof",ext,P,R,V,R A Pillar,R11,X,R11,R23,X,R12,,,
52,Driver side front door (top int),int,D,L,V,L1 Door Int,X,R12,X,X,R12,X,,,
53,Left mid roof,ext,L,L,H,Roof,R12,X,R12,R24,X,R22,,,
54,Right side top lid,ext,P,R,H,Decklid,R21,X,R22,R24,X,R22,,,
55,Right A-pillar,ext,P,R,V,R A Pillar,R22,X,R22,R23,X,R21,,,
56,Right recharge lid (ext),ext,P,R,V,Fuel Lid,R21,X,R22,R23,X,R22,,,
57,Right rear side,ext,P,R,V,RQTR,R21,X,R21,R23,X,R21,,,
58,Left recharge lid (int),int,D,L,V,Recharge Lid,X,R12,X,X,R12,X,,,
59,Left side trunk opening (ext),ext,D,L,H,Decklid,R22,X,R22,R24,X,R22,,,
60,Right side trunk opening (ext),ext,P,R,H,Decklid,R22,X,R22,R24,X,R22,,,
61,Right Rear shelf trunk opening,int,P,R,H,Decklid Int,X,R21,X,X,R21,X,,,
62,Left side C pillar,ext,,,,LQTR,R11,X,R11,R13,X,R11,,,
63,Right recharge lid (int),int,,,,Fuel Lid Int,X,R22,X,X,R22,X,,,
64,Left Rear shelf trunk opening,int,,,,Decklid Int,X,R21,X,X,R21,X,,,
